EGID,Date of Construction,Year of Demolition,Surface Area of Building,Number of Floors,Age
164794,1907,2012,115.0,4,117
164795,1954,2007,186.0,5,70
164796,1954,2007,130.0,3,70
164810,1954,2007,184.0,5,70
164811,1954,2007,131.0,4,70
164812,1954,2007,186.0,5,70
164813,1954,2007,131.0,4,70
164817,1954,2007,132.0,4,70
164818,1954,2007,184.0,5,70
164823,1950,2010,84.0,4,74
164824,1950,2022,88.0,4,74
164939,1955,2022,173.0,4,69
164940,1955,2022,170.0,4,69
164941,1955,2022,210.0,5,69
164949,1939,2021,68.0,4,85
164959,1939,2021,121.0,4,85
164960,1939,2015,68.0,4,85
164963,1949,2007,80.0,4,75
164980,1962,2014,366.0,5,62
164981,1962,2014,366.0,5,62
164982,1962,2014,364.0,5,62
164983,1963,2014,367.0,5,61
165049,1930,2021,69.0,4,94
165124,1933,2021,79.0,4,91
165128,1936,2021,73.0,4,88
165143,1933,2022,83.0,4,91
165148,1926,2010,56.0,4,98
165149,1926,2010,56.0,4,98
165172,1930,2012,120.0,5,94
165181,1931,2020,108.0,5,93
165252,1934,2016,120.0,5,90
165261,1959,2013,270.0,5,65
165272,1928,2010,156.0,5,96
165293,1949,2020,138.0,5,75
165294,1949,2020,213.0,5,75
165315,1921,2019,85.0,4,103
165325,1927,2004,109.0,5,97
165360,1958,2013,162.0,4,66
165361,1958,2013,212.0,4,66
165370,1933,2023,119.0,5,91
165460,1938,2019,109.0,4,86
165524,1935,2023,107.0,6,89
165531,1935,2017,60.0,4,89
165541,1939,2023,175.0,5,85
165554,1971,2012,227.0,5,53
165555,1971,2012,243.0,5,53
165578,1928,2008,81.0,4,96
165599,1924,2008,63.0,4,100
165649,1925,2015,131.0,5,99
165671,1924,2012,119.0,4,100
165677,1924,2012,107.0,5,100
165689,1913,2005,124.0,5,111
165691,1921,2014,101.0,4,103
165701,1949,2013,237.0,6,75
165703,1949,2013,237.0,6,75
165706,1940,2009,68.0,4,84
165707,1940,2009,69.0,4,84
165714,1908,2021,78.0,4,116
165716,1939,2014,114.0,4,85
165718,1929,2021,178.0,4,95
165744,1942,2013,238.0,5,82
165796,1951,2017,156.0,4,73
165798,1948,2020,153.0,4,76
165839,1939,2005,79.0,4,85
165840,1939,2005,105.0,4,85
165959,1937,2016,84.0,4,87
165990,1905,2023,64.0,4,119
165993,1955,2020,144.0,3,69
165994,1955,2020,106.0,3,69
166002,1945,2006,66.0,3,79
166026,1931,2019,78.0,4,93
166075,1941,2018,77.0,3,83
166085,1935,2021,154.0,5,89
166093,1891,2011,70.0,3,133
166096,1909,2018,94.0,4,115
166158,1908,2013,77.0,4,116
166169,1951,2009,105.0,3,73
166181,1953,2012,226.0,5,71
166195,1934,2010,141.0,4,90
166197,1939,2017,124.0,3,85
166202,1909,2014,145.0,4,115
166278,1925,2022,125.0,4,99
166297,1948,2022,271.0,5,76
166327,1942,2015,169.0,5,82
166329,1942,2015,168.0,5,82
166333,1944,2020,177.0,6,80
166334,1944,2020,175.0,5,80
166393,1928,2013,167.0,5,96
166394,1929,2013,164.0,5,95
166395,1923,2013,162.0,5,101
166397,1925,2013,213.0,6,99
166404,1928,2013,167.0,5,96
166405,1928,2013,168.0,5,96
166406,1928,2013,169.0,5,96
166408,1928,2013,168.0,5,96
166409,1928,2013,167.0,5,96
166413,1929,2013,165.0,5,95
166414,1929,2013,165.0,5,95
166415,1929,2013,164.0,5,95
166433,1930,2016,166.0,5,94
166434,1930,2016,93.0,5,94
166442,1929,2013,164.0,5,95
166443,1929,2013,164.0,5,95
166444,1929,2013,165.0,5,95
166447,1923,2015,190.0,5,101
166448,1923,2015,189.0,5,101
166465,1925,2004,84.0,4,99
166495,1930,2016,153.0,6,94
166520,1935,2021,208.0,6,89
166546,1956,2020,146.0,5,68
166587,1920,2017,79.0,3,104
166725,1935,2014,160.0,5,89
166738,1935,2014,159.0,5,89
166743,1936,2023,80.0,5,88
166755,1935,2023,218.0,5,89
166787,1953,2014,221.0,4,71
166798,1934,2020,181.0,5,90
166814,1922,2009,111.0,5,102
166896,1930,2017,92.0,4,94
166897,1889,2021,72.0,5,135
166908,1922,2011,165.0,5,102
166909,1922,2011,95.0,5,102
166910,1922,2011,217.0,5,102
166915,1923,2019,103.0,5,101
166960,1886,2013,100.0,4,138
167004,1878,2009,84.0,6,146
167009,1890,2009,83.0,5,134
167102,1894,2013,61.0,3,130
167244,1891,2023,107.0,5,133
167245,1891,2021,103.0,5,133
167557,1966,2020,143.0,3,58
167612,1939,2013,73.0,3,85
167613,1939,2018,91.0,4,85
167624,1935,2011,100.0,4,89
167665,1944,2021,97.0,3,80
167704,1945,2011,52.0,4,79
167705,1945,2011,51.0,4,79
167706,1945,2011,50.0,4,79
167707,1945,2011,51.0,4,79
167708,1945,2011,58.0,4,79
167709,1945,2011,52.0,4,79
167710,1945,2011,51.0,4,79
167711,1945,2011,50.0,4,79
167712,1945,2011,51.0,4,79
167713,1945,2011,59.0,4,79
167714,1945,2011,52.0,4,79
167715,1945,2011,51.0,4,79
167716,1945,2011,50.0,4,79
167717,1945,2011,51.0,4,79
167718,1945,2011,58.0,4,79
167719,1946,2011,51.0,4,78
167720,1946,2011,50.0,4,78
167721,1946,2011,50.0,4,78
167722,1946,2011,51.0,4,78
167723,1946,2011,51.0,4,78
167724,1946,2011,50.0,4,78
167725,1946,2011,49.0,4,78
167726,1946,2011,52.0,4,78
167727,1946,2011,51.0,4,78
167728,1946,2011,50.0,4,78
167729,1946,2011,49.0,4,78
167730,1946,2011,51.0,4,78
167731,1945,2011,58.0,4,79
167732,1945,2011,51.0,4,79
167733,1945,2011,50.0,4,79
167734,1945,2011,57.0,4,79
167746,1945,2011,57.0,4,79
167747,1945,2011,51.0,4,79
167748,1945,2011,50.0,4,79
167749,1945,2011,57.0,4,79
167771,1905,2017,165.0,5,119
167773,1893,2008,128.0,3,131
167782,1956,2020,172.0,5,68
167805,1926,2009,64.0,4,98
167838,1952,2022,100.0,4,72
167845,1954,2011,181.0,4,70
167848,1957,2020,161.0,4,67
167849,1957,2020,157.0,5,67
167850,1956,2020,187.0,5,68
167851,1957,2020,156.0,4,67
167852,1956,2020,186.0,5,68
167853,1957,2020,115.0,3,67
167854,1957,2020,160.0,4,67
167856,1937,2016,180.0,4,87
167857,1926,2004,65.0,4,98
167873,1956,2020,145.0,4,68
167874,1956,2022,162.0,4,68
167875,1956,2022,225.0,5,68
167876,1956,2022,163.0,4,68
167877,1956,2022,189.0,5,68
167878,1952,2022,164.0,4,72
167880,1952,2022,162.0,5,72
167882,1952,2022,163.0,5,72
167883,1952,2022,138.0,5,72
167885,1945,2009,54.0,4,79
167886,1945,2009,52.0,4,79
167887,1945,2009,52.0,4,79
167888,1945,2009,52.0,4,79
167889,1945,2009,52.0,4,79
167890,1945,2009,51.0,4,79
167891,1945,2009,52.0,4,79
167892,1945,2009,54.0,4,79
167893,1945,2009,54.0,4,79
167894,1945,2009,52.0,4,79
167895,1945,2009,53.0,4,79
167896,1945,2009,53.0,4,79
167897,1945,2009,52.0,4,79
167898,1945,2009,51.0,4,79
167899,1945,2009,52.0,4,79
167900,1945,2009,54.0,4,79
167901,1945,2009,182.0,5,79
167902,1945,2009,172.0,5,79
167905,1945,2008,183.0,5,79
167906,1945,2008,171.0,5,79
167907,1945,2009,181.0,5,79
167908,1945,2009,170.0,5,79
167909,1946,2008,56.0,4,78
167910,1946,2008,52.0,4,78
167911,1946,2008,52.0,4,78
167912,1956,2020,187.0,4,68
167913,1946,2008,54.0,4,78
167914,1956,2020,187.0,4,68
167915,1946,2008,56.0,4,78
167916,1946,2008,52.0,4,78
167917,1946,2008,52.0,4,78
167918,1946,2008,52.0,4,78
167919,1946,2008,52.0,4,78
167920,1946,2008,52.0,4,78
167921,1946,2008,52.0,4,78
167922,1946,2008,54.0,4,78
167923,1946,2009,53.0,4,78
167924,1946,2009,52.0,4,78
167925,1946,2009,53.0,4,78
167926,1946,2009,51.0,4,78
167927,1946,2009,52.0,4,78
167928,1946,2009,51.0,4,78
167929,1946,2009,52.0,4,78
167930,1946,2009,54.0,3,78
167931,1956,2020,162.0,4,68
167932,1956,2020,144.0,5,68
167935,1946,2008,182.0,5,78
167936,1946,2008,171.0,5,78
167937,1946,2008,181.0,5,78
167938,1946,2008,171.0,5,78
167947,1899,2010,79.0,4,125
167950,1956,2019,149.0,6,68
167951,1956,2019,148.0,6,68
167952,1956,2019,148.0,6,68
167994,1949,2021,131.0,4,75
168005,1941,2022,61.0,4,83
168008,1954,2024,263.0,5,70
168011,1954,2010,215.0,4,70
168012,1954,2010,214.0,4,70
168014,1954,2010,214.0,5,70
168015,1954,2010,213.0,5,70
168022,1954,2021,174.0,6,70
168023,1954,2021,174.0,6,70
168025,1954,2010,178.0,5,70
168026,1954,2010,175.0,5,70
168027,1954,2010,153.0,5,70
168046,1959,2015,209.0,5,65
168073,1959,2015,209.0,6,65
168078,1931,2007,92.0,4,93
168098,1952,2017,68.0,3,72
168111,1922,2012,111.0,4,102
168169,1935,2005,70.0,4,89
168188,1948,2015,57.0,4,76
168189,1948,2015,58.0,4,76
168190,1948,2015,56.0,4,76
168191,1948,2015,57.0,4,76
168214,1935,2015,70.0,5,89
168215,1934,2017,93.0,5,90
168216,1934,2017,73.0,4,90
168217,1934,2005,69.0,4,90
168414,1950,2016,146.0,1,74
168417,1948,2016,59.0,4,76
168418,1948,2016,55.0,4,76
168419,1948,2016,54.0,4,76
168420,1948,2016,56.0,4,76
168421,1948,2016,56.0,4,76
168422,1948,2016,54.0,4,76
168423,1948,2016,55.0,4,76
168424,1948,2016,60.0,4,76
168425,1948,2016,59.0,4,76
168426,1948,2016,55.0,4,76
168427,1948,2016,55.0,4,76
168428,1948,2016,57.0,4,76
168429,1948,2016,59.0,4,76
168430,1948,2016,55.0,4,76
168431,1948,2016,59.0,4,76
168444,1948,2016,56.0,4,76
168445,1948,2016,55.0,4,76
168446,1948,2016,54.0,4,76
168447,1948,2016,55.0,4,76
168448,1948,2016,56.0,4,76
168454,1969,2009,123.0,4,55
168510,1974,2023,334.0,12,50
168548,1927,2021,64.0,4,97
168571,1938,2010,113.0,3,86
168574,1921,2015,70.0,4,103
168590,1925,2021,114.0,4,99
168668,1950,2017,201.0,4,74
168714,1953,2023,180.0,5,71
168715,1953,2023,118.0,4,71
168716,1953,2023,177.0,5,71
168717,1953,2023,119.0,4,71
168746,1953,2015,240.0,4,71
168747,1953,2015,240.0,5,71
168748,1953,2015,241.0,5,71
168776,1954,2016,423.0,3,70
168835,1935,2008,82.0,4,89
168858,1935,2014,42.0,4,89
168859,1934,2010,59.0,4,90
168901,1968,2022,106.0,5,56
168946,1937,2016,65.0,3,87
168947,1937,2013,65.0,3,87
168971,1936,2009,61.0,4,88
168991,1939,2021,65.0,4,85
169104,1952,2009,48.0,4,72
169105,1952,2009,44.0,4,72
169106,1952,2009,44.0,4,72
169107,1952,2009,45.0,4,72
169108,1952,2009,45.0,4,72
169109,1952,2009,45.0,4,72
169110,1952,2009,44.0,4,72
169111,1952,2009,44.0,4,72
169112,1952,2009,45.0,4,72
169113,1952,2009,45.0,4,72
169119,1934,2013,86.0,4,90
169121,1933,2023,56.0,4,91
169122,1933,2023,50.0,4,91
169123,1951,2009,155.0,5,73
169124,1951,2009,156.0,5,73
169125,1952,2009,164.0,5,72
169126,1952,2009,165.0,5,72
169127,1952,2009,165.0,5,72
169128,1952,2009,165.0,5,72
169156,1951,2009,153.0,5,73
169158,1952,2009,56.0,4,72
169159,1952,2009,56.0,4,72
169160,1952,2009,45.0,4,72
169161,1952,2009,45.0,4,72
169162,1952,2009,44.0,4,72
169163,1952,2009,45.0,4,72
169164,1951,2009,164.0,5,73
169165,1951,2009,169.0,5,73
169166,1952,2009,45.0,4,72
169167,1952,2009,45.0,4,72
169168,1952,2009,45.0,4,72
169169,1952,2009,45.0,4,72
169170,1952,2009,45.0,4,72
169171,1952,2009,45.0,4,72
169174,1932,2020,58.0,4,92
169246,1952,2014,144.0,3,72
169332,1931,2019,156.0,6,93
169339,1886,2012,78.0,4,138
169341,1886,2012,78.0,4,138
169342,1886,2023,78.0,4,138
169345,1907,2004,68.0,4,117
169397,1912,2009,110.0,5,112
169398,1957,2016,153.0,5,67
169399,1893,2010,76.0,4,131
169411,1903,2004,92.0,4,121
169433,1924,2016,51.0,4,100
169434,1924,2016,51.0,4,100
169435,1925,2016,51.0,4,99
169455,1920,2021,120.0,4,104
169456,1952,2016,171.0,5,72
169461,1891,2019,72.0,4,133
169472,1928,2018,93.0,4,96
169508,1935,2010,77.0,4,89
169509,1927,2010,102.0,6,97
169510,1926,2021,70.0,4,98
169511,1927,2008,85.0,4,97
169518,1930,2021,79.0,3,94
169521,1930,2017,79.0,3,94
169544,1930,2017,122.0,6,94
169545,1931,2017,182.0,6,93
169560,1931,2016,129.0,5,93
169561,1931,2016,101.0,5,93
169562,1931,2016,128.0,5,93
169563,1931,2016,153.0,5,93
169564,1931,2016,166.0,5,93
169565,1931,2016,151.0,5,93
169566,1931,2016,153.0,5,93
169567,1931,2016,153.0,5,93
169568,1931,2016,153.0,5,93
169569,1931,2016,169.0,5,93
169570,1931,2016,151.0,5,93
169578,1933,2022,95.0,4,91
169580,1934,2011,82.0,4,90
169588,1944,2010,55.0,4,80
169589,1944,2010,53.0,4,80
169591,1944,2010,52.0,4,80
169593,1944,2010,52.0,4,80
169595,1944,2010,54.0,4,80
169597,1944,2010,53.0,4,80
169600,1944,2010,62.0,4,80
169601,1944,2010,54.0,4,80
169602,1944,2010,52.0,4,80
169603,1944,2010,51.0,4,80
169604,1944,2010,52.0,4,80
169605,1944,2010,52.0,4,80
169606,1944,2010,54.0,4,80
169607,1944,2010,62.0,4,80
169608,1944,2010,55.0,4,80
169609,1944,2010,52.0,4,80
169610,1944,2010,52.0,4,80
169611,1944,2010,51.0,4,80
169612,1944,2010,51.0,4,80
169613,1944,2010,51.0,4,80
169650,1937,2023,87.0,4,87
169681,1926,2011,84.0,5,98
169711,1936,2022,82.0,4,88
169713,1929,2022,70.0,4,95
169715,1930,2022,69.0,4,94
169720,1929,2024,68.0,4,95
169721,1929,2024,67.0,4,95
169723,1930,2014,70.0,4,94
169729,1929,2014,123.0,5,95
169746,1950,2003,142.0,5,74
169747,1950,2003,140.0,5,74
169748,1950,2003,144.0,5,74
169766,1925,2013,102.0,5,99
169767,1925,2013,103.0,5,99
169794,1892,2015,88.0,4,132
169797,1892,2015,89.0,4,132
169800,1949,2012,71.0,3,75
169824,1928,2015,92.0,4,96
169845,1947,2012,192.0,4,77
169879,1926,2011,70.0,4,98
169888,1926,2011,79.0,4,98
169901,1929,2015,81.0,4,95
169908,1915,2013,224.0,5,109
169969,1911,2016,78.0,4,113
169980,1909,2019,146.0,3,115
169999,1931,2010,129.0,5,93
170017,1948,2019,212.0,4,76
170021,1927,2007,74.0,4,97
170060,1945,2017,73.0,6,79
170161,1927,2020,145.0,4,97
170204,1907,2003,136.0,4,117
170205,1934,2003,125.0,5,90
170217,1932,2010,139.0,4,92
170248,1927,2011,143.0,5,97
170250,1927,2022,144.0,5,97
170352,1941,2016,146.0,5,83
170353,1941,2016,136.0,5,83
170463,1950,2016,208.0,6,74
170466,1946,2012,153.0,5,78
170535,1925,2015,69.0,4,99
170553,1932,2019,161.0,3,92
170554,1934,2015,103.0,3,90
170555,1934,2015,131.0,3,90
170578,1929,2021,72.0,4,95
170608,1938,2010,60.0,4,86
170631,1927,2017,90.0,5,97
170632,1929,2008,152.0,4,95
170633,1926,2017,62.0,4,98
170635,1928,2010,73.0,5,96
170642,1918,2021,70.0,4,106
170644,1918,2021,70.0,4,106
170722,1934,2011,83.0,4,90
170761,1960,2021,306.0,6,64
170768,1961,2015,199.0,5,63
170802,1956,2015,193.0,5,68
170825,1930,2022,212.0,5,94
170826,1930,2022,167.0,5,94
170835,1932,2024,126.0,5,92
170842,1953,2010,135.0,5,71
170843,1953,2010,142.0,5,71
170844,1953,2010,144.0,5,71
170850,1953,2012,185.0,5,71
170851,1953,2012,169.0,5,71
170874,1948,2017,200.0,5,76
170875,1948,2017,192.0,5,76
170908,1973,2020,212.0,4,51
170922,1929,2011,96.0,4,95
170926,1930,2020,198.0,5,94
170927,1930,2020,197.0,5,94
170928,1930,2020,157.0,5,94
170929,1930,2020,157.0,5,94
170930,1930,2020,160.0,5,94
170931,1930,2020,178.0,5,94
170934,1949,2017,224.0,5,75
170938,1949,2017,209.0,5,75
170944,1930,2011,77.0,4,94
170948,1938,2019,171.0,4,86
170989,1949,2017,225.0,5,75
170990,1949,2017,209.0,5,75
170995,1931,2017,99.0,4,93
171013,1931,2023,167.0,5,93
171158,1946,2023,51.0,4,78
171166,1946,2023,51.0,4,78
171167,1946,2023,49.0,4,78
171168,1946,2023,49.0,4,78
171169,1946,2023,51.0,4,78
171171,1935,2020,91.0,4,89
171172,1946,2023,53.0,4,78
171173,1946,2023,51.0,4,78
171174,1946,2023,50.0,3,78
171175,1946,2023,50.0,4,78
171176,1946,2023,50.0,4,78
171177,1946,2023,51.0,4,78
171178,1946,2023,52.0,4,78
171179,1946,2023,52.0,4,78
171180,1946,2023,51.0,4,78
171181,1946,2023,50.0,4,78
171182,1946,2023,50.0,4,78
171183,1946,2023,48.0,4,78
171184,1946,2023,48.0,4,78
171185,1946,2023,48.0,4,78
171186,1946,2023,48.0,4,78
171187,1946,2023,50.0,4,78
171188,1946,2023,49.0,4,78
171189,1946,2023,49.0,4,78
171190,1946,2023,50.0,4,78
171191,1946,2023,51.0,4,78
171192,1946,2023,52.0,4,78
171193,1946,2023,50.0,4,78
171194,1946,2023,51.0,4,78
171195,1946,2023,50.0,4,78
171196,1946,2023,52.0,4,78
171197,1946,2023,51.0,4,78
171198,1946,2023,51.0,4,78
171200,1946,2023,50.0,4,78
171202,1946,2023,52.0,4,78
171204,1946,2023,52.0,4,78
171206,1946,2023,50.0,4,78
171208,1946,2023,50.0,4,78
171210,1946,2023,50.0,4,78
171211,1946,2023,50.0,4,78
171212,1946,2023,49.0,4,78
171213,1946,2023,49.0,4,78
171214,1946,2023,51.0,4,78
171215,1946,2023,56.0,3,78
171216,1946,2023,49.0,4,78
171217,1946,2023,49.0,4,78
171218,1946,2023,50.0,4,78
171219,1946,2023,50.0,4,78
171220,1946,2023,49.0,4,78
171221,1946,2023,49.0,4,78
171222,1946,2023,50.0,4,78
171223,1946,2023,51.0,4,78
171224,1946,2023,49.0,4,78
171225,1946,2023,49.0,4,78
171226,1946,2023,49.0,4,78
171227,1946,2023,50.0,4,78
171228,1946,2023,49.0,4,78
171229,1946,2023,48.0,4,78
171230,1946,2023,48.0,4,78
171231,1946,2023,51.0,4,78
171249,1935,2022,67.0,4,89
171284,1961,2011,221.0,4,63
171286,1961,2011,223.0,4,63
171314,1960,2012,451.0,4,64
171319,1895,2009,64.0,3,129
171335,1932,2015,140.0,5,92
171388,1949,2015,142.0,4,75
171389,1949,2015,142.0,4,75
171390,1949,2015,238.0,4,75
171391,1949,2015,237.0,4,75
171392,1949,2015,239.0,4,75
171393,1949,2015,143.0,4,75
171394,1949,2015,142.0,4,75
171395,1949,2015,143.0,4,75
171396,1949,2015,237.0,4,75
171397,1949,2015,238.0,4,75
171408,1948,2023,172.0,6,76
171409,1948,2022,172.0,6,76
171410,1948,2023,173.0,6,76
171411,1948,2023,173.0,6,76
171412,1948,2022,173.0,6,76
171413,1948,2023,174.0,6,76
171414,1949,2015,142.0,4,75
171415,1949,2015,142.0,4,75
171416,1949,2015,238.0,4,75
171417,1949,2015,145.0,4,75
171418,1949,2015,140.0,4,75
171419,1949,2015,142.0,4,75
171425,1908,2020,75.0,4,116
171456,1948,2022,170.0,5,76
171457,1948,2023,170.0,5,76
171577,1949,2009,167.0,5,75
171578,1949,2009,163.0,5,75
171579,1949,2009,49.0,4,75
171580,1949,2009,48.0,4,75
171581,1949,2009,48.0,4,75
171582,1949,2009,49.0,4,75
171583,1949,2009,48.0,4,75
171584,1949,2009,49.0,4,75
171585,1949,2009,168.0,5,75
171586,1949,2009,50.0,4,75
171587,1949,2009,48.0,4,75
171588,1949,2009,48.0,4,75
171589,1949,2009,48.0,4,75
171590,1949,2009,48.0,4,75
171591,1949,2009,49.0,4,75
171592,1949,2009,167.0,5,75
171593,1949,2011,50.0,4,75
171594,1949,2011,48.0,4,75
171595,1949,2011,48.0,4,75
171596,1949,2011,48.0,4,75
171597,1949,2011,48.0,4,75
171598,1949,2011,49.0,4,75
171599,1949,2011,167.0,5,75
171600,1949,2009,50.0,4,75
171601,1949,2009,48.0,4,75
171602,1949,2009,48.0,4,75
171603,1949,2009,48.0,4,75
171604,1949,2009,50.0,4,75
171605,1949,2009,164.0,5,75
171606,1949,2009,166.0,5,75
171607,1949,2011,50.0,4,75
171608,1949,2011,50.0,4,75
171609,1949,2011,48.0,4,75
171610,1949,2011,48.0,4,75
171611,1949,2011,48.0,4,75
171612,1949,2011,48.0,4,75
171613,1949,2011,48.0,4,75
171614,1949,2011,49.0,4,75
171615,1949,2011,50.0,4,75
171616,1949,2011,48.0,4,75
171617,1949,2011,50.0,4,75
171618,1949,2011,49.0,4,75
171619,1949,2011,48.0,4,75
171620,1949,2011,167.0,5,75
171621,1949,2011,48.0,4,75
171622,1949,2011,48.0,4,75
171623,1949,2011,48.0,4,75
171624,1949,2011,48.0,4,75
171625,1949,2011,50.0,4,75
171642,1913,2004,88.0,4,111
171646,1984,2016,224.0,4,40
171713,1928,2012,156.0,4,96
171726,1949,2012,250.0,7,75
171730,1949,2012,236.0,7,75
171737,1949,2012,239.0,7,75
171738,1891,2012,84.0,5,133
171784,1943,2012,153.0,5,81
171785,1943,2012,152.0,5,81
171799,1925,2018,101.0,5,99
171810,1920,2014,118.0,4,104
171850,1934,2020,104.0,4,90
171855,1897,2005,204.0,5,127
171866,1850,2021,69.0,4,174
171877,1950,2023,232.0,4,74
171879,1950,2023,164.0,4,74
171917,1906,2021,102.0,4,118
171928,1969,2023,333.0,8,55
171929,1953,2023,239.0,5,71
171939,1936,2018,58.0,4,88
171943,1944,2009,51.0,4,80
171944,1944,2009,51.0,4,80
171945,1944,2009,51.0,4,80
171946,1944,2009,51.0,4,80
171947,1944,2009,54.0,4,80
171948,1944,2009,48.0,4,80
171949,1944,2009,49.0,4,80
171950,1944,2009,54.0,4,80
171951,1944,2009,54.0,4,80
171952,1944,2009,48.0,4,80
171953,1944,2009,48.0,4,80
171954,1945,2013,155.0,5,79
171955,1944,2009,49.0,4,80
171956,1945,2013,154.0,5,79
171957,1944,2009,49.0,4,80
171958,1944,2009,48.0,4,80
171959,1944,2009,48.0,4,80
171960,1944,2009,54.0,4,80
171963,1946,2011,154.0,5,78
171964,1946,2011,154.0,5,78
171965,1946,2011,153.0,5,78
171966,1945,2013,152.0,5,79
171967,1945,2013,154.0,5,79
171968,1944,2009,50.0,4,80
171969,1944,2009,48.0,4,80
171970,1944,2009,48.0,4,80
171971,1944,2009,48.0,4,80
171972,1944,2009,51.0,4,80
171973,1944,2009,57.0,4,80
171974,1945,2013,154.0,5,79
171975,1944,2009,57.0,4,80
171976,1945,2013,152.0,5,79
171977,1944,2009,57.0,4,80
171978,1944,2009,51.0,4,80
171979,1944,2009,51.0,4,80
171980,1944,2009,48.0,4,80
171981,1944,2009,49.0,4,80
171982,1944,2009,49.0,4,80
171983,1944,2009,48.0,4,80
171984,1944,2009,51.0,4,80
171985,1944,2009,50.0,4,80
171986,1944,2009,48.0,4,80
171987,1944,2009,49.0,4,80
171989,1944,2009,49.0,4,80
171990,1945,2013,154.0,5,79
171991,1944,2009,48.0,4,80
171992,1944,2009,51.0,4,80
171993,1944,2009,56.0,4,80
171994,1944,2009,57.0,4,80
171995,1944,2009,56.0,4,80
171996,1944,2009,57.0,4,80
171997,1944,2009,51.0,4,80
171998,1944,2009,48.0,4,80
171999,1944,2009,49.0,4,80
172000,1945,2013,153.0,5,79
172001,1944,2009,49.0,4,80
172002,1945,2013,152.0,5,79
172003,1944,2009,48.0,4,80
172004,1944,2009,51.0,4,80
172005,1944,2009,50.0,4,80
172006,1944,2009,48.0,4,80
172007,1944,2009,49.0,4,80
172008,1944,2009,48.0,4,80
172009,1944,2009,48.0,4,80
172010,1944,2009,51.0,4,80
172015,1944,2017,153.0,5,80
172017,1944,2017,154.0,5,80
172024,1944,2017,154.0,5,80
172026,1944,2017,153.0,5,80
172036,1944,2017,156.0,5,80
172038,1944,2017,154.0,5,80
172039,1944,2017,154.0,5,80
172040,1944,2017,154.0,5,80
172046,1954,2017,201.0,4,70
172048,1944,2017,153.0,4,80
172050,1944,2017,153.0,4,80
172078,1944,2009,57.0,4,80
172080,1944,2009,57.0,4,80
172085,1944,2009,57.0,4,80
172086,1944,2009,51.0,4,80
172088,1946,2011,51.0,4,78
172089,1946,2011,48.0,4,78
172090,1946,2011,48.0,4,78
172091,1946,2011,49.0,4,78
172092,1944,2009,51.0,4,80
172093,1946,2011,49.0,4,78
172094,1944,2009,51.0,4,80
172095,1946,2011,50.0,4,78
172096,1946,2011,50.0,4,78
172097,1946,2011,50.0,4,78
172098,1946,2011,50.0,4,78
172100,1946,2011,48.0,4,78
172101,1946,2011,51.0,4,78
172102,1946,2011,50.0,4,78
172103,1946,2011,49.0,4,78
172104,1946,2011,49.0,4,78
172105,1946,2011,51.0,4,78
172148,1933,2023,104.0,4,91
172149,1911,2023,125.0,5,113
172179,1898,2004,143.0,6,126
172183,1895,2018,84.0,4,129
172186,1934,2011,63.0,4,90
172199,1933,2015,82.0,3,91
172202,1961,2021,224.0,5,63
172208,1943,2011,102.0,3,81
172209,1949,2021,170.0,5,75
172210,1949,2021,170.0,5,75
172211,1949,2021,170.0,5,75
172212,1949,2021,170.0,5,75
172213,1949,2021,168.0,5,75
172214,1949,2021,168.0,5,75
172215,1949,2021,171.0,5,75
172216,1949,2021,170.0,5,75
172219,1949,2021,53.0,4,75
172220,1949,2021,52.0,4,75
172221,1949,2021,52.0,4,75
172222,1949,2021,52.0,4,75
172223,1949,2021,58.0,4,75
172224,1949,2021,53.0,4,75
172225,1949,2021,52.0,4,75
172226,1949,2021,52.0,4,75
172227,1949,2021,58.0,4,75
172229,1949,2021,54.0,4,75
172230,1949,2021,53.0,4,75
172240,1950,2021,174.0,5,74
172242,1949,2021,59.0,4,75
172243,1949,2021,52.0,4,75
172244,1949,2021,52.0,4,75
172245,1949,2021,52.0,4,75
172246,1949,2021,52.0,4,75
172247,1949,2021,52.0,4,75
172248,1949,2021,52.0,4,75
172249,1949,2021,54.0,4,75
172250,1950,2021,180.0,5,74
172252,1897,2010,92.0,4,127
172256,1929,2010,65.0,4,95
172258,1895,2005,160.0,5,129
172262,1948,2014,92.0,4,76
172264,1897,2010,79.0,5,127
172271,1949,2011,183.0,5,75
172272,1949,2011,168.0,5,75
172273,1949,2011,170.0,5,75
172274,1949,2011,182.0,5,75
172275,1949,2011,164.0,5,75
172276,1949,2011,167.0,5,75
172277,1948,2010,182.0,5,76
172278,1948,2010,167.0,5,76
172279,1948,2010,168.0,5,76
172280,1948,2009,180.0,5,76
172281,1948,2009,164.0,5,76
172282,1948,2009,168.0,5,76
172283,1948,2009,179.0,5,76
172284,1948,2009,166.0,5,76
172285,1948,2009,170.0,5,76
172286,1949,2009,180.0,5,75
172287,1949,2009,165.0,5,75
172288,1949,2009,167.0,5,75
172289,1949,2009,181.0,5,75
172290,1949,2009,165.0,5,75
172291,1949,2009,168.0,5,75
172318,1933,2014,62.0,4,91
172336,1934,2014,73.0,4,90
172340,1921,2010,74.0,3,103
172365,1934,2010,61.0,4,90
172371,1948,2004,79.0,4,76
172373,1914,2008,89.0,4,110
172420,1938,2021,120.0,4,86
172422,1937,2010,114.0,3,87
172423,1927,2011,126.0,4,97
